song_name,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence
Rock And Roll All Nite,31,168733,0.046,0.6559999999999999,0.931,0.0,1,0.0543,-5.827000000000001,1,0.0976,144.747,4,0.909
My Type,67,206393,0.0641,0.596,0.897,5.24e-05,10,0.0628,-2.94,1,0.0462,118.0,4,0.578
More Than Words,69,334106,0.4679999999999999,0.615,0.129,0.0,6,0.114,-14.892,1,0.0286,91.769,4,0.249
My Spine Is The Bassline,2,241693,0.281,0.5820000000000001,0.875,0.2689999999999999,0,0.0943,-10.601,1,0.0454,112.564,4,0.943
We Don't Play,61,217471,0.0914,0.654,0.815,2.59e-06,1,0.226,-5.292999999999999,1,0.315,135.082,4,0.43
De Rodillas Te Pido,55,233320,0.573,0.919,0.677,3.35e-06,7,0.212,-5.158,1,0.0374,129.99200000000002,4,0.973
Pray For Me (with Kendrick Lamar),40,211440,0.0805,0.728,0.6679999999999999,1.49e-05,2,0.102,-5.02,1,0.126,100.537,4,0.162
We Built This City,75,296080,0.052,0.6609999999999999,0.908,0.0,5,0.0708,-4.897,1,0.039,144.091,4,0.6559999999999999
Sobriety,35,213655,0.445,0.76,0.519,0.0,7,0.1159999999999999,-10.719,1,0.2,110.017,4,0.392
Answers,60,205666,0.765,0.495,0.161,1.33e-06,11,0.105,-14.078,0,0.0301,94.286,4,0.265
Can I Kick It?,72,251573,0.173,0.848,0.6659999999999999,0.000699,0,0.129,-6.547000000000001,1,0.2739999999999999,96.662,4,0.7440000000000001
PASS OUT (feat. 21 Savage),85,224903,0.0403,0.917,0.7859999999999999,0.0,11,0.195,-4.921,0,0.208,143.03799999999998,4,0.441
Low (feat T-Pain),78,231400,0.0928,0.918,0.609,0.0,10,0.139,-5.64,0,0.0791,128.00799999999998,4,0.304
D-I-V-O-R-C-E,41,175253,0.836,0.619,0.33,0.0,9,0.154,-11.332,1,0.0295,99.353,4,0.602
Emmylou - Spotify Sessions,61,304226,0.142,0.336,0.647,0.00616,6,0.826,-7.718,1,0.039,94.948,4,0.207
Tints (feat. Kendrick Lamar),82,269106,0.1009999999999999,0.7979999999999999,0.867,0.0,1,0.0634,-5.971,0,0.12,109.04,4,0.6679999999999999
The Middle,90,184732,0.171,0.753,0.657,0.0,7,0.1119999999999999,-3.0610000000000004,1,0.0449,107.01,4,0.437
Gente del General,64,165480,0.428,0.8059999999999999,0.621,0.000124,3,0.0896,-3.506,0,0.0395,114.967,3,0.908
Better Than This,27,227078,0.0148,0.527,0.931,0.0,0,0.121,-4.743,0,0.1119999999999999,129.738,4,0.288
Stay With Me,71,189786,0.489,0.695,0.695,0.0001899999999999,2,0.131,-6.612,1,0.0706,100.021,4,0.4679999999999999
LEG OVER,9,197972,0.58,0.601,0.6809999999999999,0.0,9,0.0934,-5.171,1,0.324,98.078,4,0.546
Soul Man,57,156680,0.291,0.72,0.8190000000000001,4.92e-06,0,0.2239999999999999,-5.825,1,0.0557,115.042,4,0.735
Love Will Tear Us Apart,71,206866,5.24e-05,0.4429999999999999,0.956,0.825,2,0.135,-6.198,1,0.0511,146.754,4,0.909
Beware the Dog,1,201466,0.15,0.716,0.91,0.0,5,0.0796,-3.492,1,0.12,129.96200000000002,4,0.6859999999999999
Sirena,78,205791,0.00472,0.765,0.767,9.48e-06,1,0.0618,-4.458,1,0.051,93.947,4,0.319
Sleep Walking Elite,59,219760,0.00567,0.427,0.959,0.000279,8,0.151,-4.67,1,0.0711,84.979,3,0.3979999999999999
La Calle De Las Sirenas,28,231506,0.0866,0.7040000000000001,0.915,0.00266,5,0.123,-6.841,1,0.0298,104.521,4,0.769
00 (DOUBLE O),43,163279,0.0812,0.904,0.711,0.0,6,0.0842,-5.426,0,0.315,90.456,4,0.472
Stop That,2,150804,0.0105,0.885,0.535,0.0,6,0.271,-7.912000000000001,0,0.0626,128.006,4,0.0403
A Minha Menina,42,284986,0.0568,0.455,0.93,0.0,7,0.4639999999999999,-3.21,1,0.126,91.41,4,0.429
On Top Of Old Smokey,26,164293,0.861,0.418,0.498,0.0,11,0.273,-7.275,1,0.0348,167.583,3,0.6
feelings are fatal,68,124853,0.908,0.545,0.1689999999999999,0.0,0,0.0942,-16.249000000000002,1,0.132,98.225,4,0.482
Hey There Delilah,56,226493,0.861,0.624,0.28,1.51e-06,2,0.1159999999999999,-10.415,1,0.0289999999999999,105.087,4,0.288
PERCEPTION,46,211762,0.936,0.669,0.278,0.8540000000000001,10,0.11,-14.997,0,0.0513,74.992,4,0.4479999999999999
TELL ME YXU LXVE ME,52,150093,0.000683,0.173,0.958,1.3e-05,7,0.774,-1.841,0,0.1159999999999999,95.219,3,0.204
Ego,55,232213,0.0864,0.7290000000000001,0.7829999999999999,2.08e-06,7,0.0632,-6.287000000000001,1,0.0365,128.004,4,0.78
Bottles Up,55,179467,0.00446,0.731,0.95,3.64e-05,2,0.362,-2.705,1,0.0516,135.08100000000002,4,0.249
Runaway Train,70,265866,0.0132,0.613,0.72,0.0,0,0.104,-7.957000000000001,1,0.0425,117.341,4,0.561
Rewind,72,200411,0.25,0.6,0.769,0.0,7,0.109,-6.089,0,0.264,178.081,4,0.491
Bodies,74,201960,0.00347,0.6559999999999999,0.932,0.00147,4,0.144,-3.405,0,0.0708,130.936,4,0.544
Dancin' In Circles,21,207173,0.0279999999999999,0.636,0.726,0.000293,0,0.198,-7.791,0,0.162,171.94,4,0.7909999999999999
Angel Down - Work Tape,14,139826,0.5770000000000001,0.6509999999999999,0.243,0.0,0,0.108,-8.297,1,0.0309,111.709,4,0.19
La Modelo,80,256551,0.213,0.8220000000000001,0.743,0.0103,1,0.0957,-2.0380000000000003,1,0.0451,98.005,4,0.78
Make Money Not Friends,47,237557,0.3989999999999999,0.906,0.569,0.0,3,0.106,-8.376,0,0.302,93.028,4,0.925
El Loco,46,172133,0.768,0.496,0.4479999999999999,0.000291,7,0.13,-8.156,1,0.0313,115.284,4,0.519
Smooth Sailin',63,183333,0.413,0.6409999999999999,0.721,7.15e-06,11,0.246,-6.787999999999999,0,0.0451,67.055,4,0.753
Just Another Day,14,178000,0.12,0.624,0.451,0.0,9,0.105,-8.93,1,0.0312,166.85,4,0.698
Hurtin' Me - The Remix,60,241024,0.179,0.506,0.8220000000000001,0.0,0,0.31,-3.3480000000000003,1,0.282,203.276,4,0.738
"Frío, Frío - En Vivo Estadio Olímpico De República Dominicana/2012",62,218996,0.721,0.5820000000000001,0.743,1e-06,11,0.217,-2.26,1,0.0311,125.323,4,0.75
Oye Mujer,71,259240,0.168,0.746,0.585,0.0,4,0.264,-5.937,0,0.0491,182.018,4,0.948
La Gota Fría,66,215493,0.0893,0.7190000000000001,0.809,0.0,1,0.183,-10.201,1,0.0511,100.839,4,0.964
Take A Bow,80,229413,0.248,0.6970000000000001,0.467,0.0,9,0.0941,-7.536,1,0.0715,82.081,4,0.5720000000000001
BINGBIAN病变,49,241221,0.7559999999999999,0.664,0.411,0.0,4,0.103,-11.356,1,0.0553,113.059,4,0.428
K.O.,55,155654,0.505,0.6890000000000001,0.713,0.0,11,0.0846,-4.34,0,0.0398,155.04,4,0.922
Who's Gonna Drive U Home?,47,206513,0.848,0.56,0.433,0.264,9,0.0481,-13.883,1,0.0364,140.00799999999998,4,0.257
Borrowed Time,62,120750,0.551,0.611,0.456,1.45e-06,6,0.396,-9.624,0,0.06,120.01,4,0.152
Drop It Like It's Hot,70,266066,0.187,0.8809999999999999,0.622,0.0,1,0.103,-4.149,1,0.215,91.989,4,0.633
Dramas y comedias,49,243773,0.0469,0.5710000000000001,0.89,1.53e-05,1,0.0833,-6.995,1,0.0373,139.963,4,0.768
Tape Flip Too,43,64506,0.905,0.728,0.51,0.936,8,0.272,-15.737,0,0.0904,89.008,4,0.7609999999999999
Crystals,4,243533,0.00187,0.581,0.768,0.0004559999999999,0,0.102,-7.237999999999999,1,0.0306,132.19799999999998,4,0.307
The Passenger,26,284066,0.0797,0.5,0.846,0.0,0,0.241,-8.097999999999999,1,0.0457,134.937,4,0.738
La Pelota,29,256506,0.722,0.56,0.677,0.0404,0,0.0784,-7.481,0,0.0634,130.08100000000002,4,0.941
Fancy,69,199938,0.0904,0.912,0.716,0.0,10,0.0491,-4.141,0,0.0697,94.981,4,0.377
Think About U (feat. Joji),59,168974,0.8490000000000001,0.472,0.357,0.115,0,0.255,-10.09,1,0.0328,121.89,4,0.0532
The Light,76,179653,0.0178,0.83,0.5770000000000001,8.149999999999999e-05,4,0.0436,-5.156000000000001,0,0.256,92.973,4,0.63
So Far Gone,43,185918,8.71e-06,0.445,0.92,4.68e-06,2,0.613,-7.585,1,0.0425,92.524,4,0.585
Always You,53,192986,0.0448,0.586,0.7490000000000001,0.0,4,0.172,-4.101,0,0.0315,149.869,4,0.365
Falling Water,61,198625,0.813,0.613,0.215,0.000104,6,0.106,-13.147,0,0.0538,81.258,4,0.23
brookes was here2a,48,255091,0.8340000000000001,0.15,0.172,0.908,6,0.0987,-19.842,0,0.0407,67.579,4,0.0411
Happy Now,91,207029,0.579,0.503,0.741,1.49e-06,4,0.0712,-5.127999999999999,1,0.047,88.335,3,0.4579999999999999
Love Cliche,37,187591,0.154,0.665,0.775,0.0,7,0.301,-5.504,1,0.0329,100.01,4,0.6829999999999999
Pinball Wizard,29,180943,0.0192,0.5429999999999999,0.715,0.0,2,0.256,-8.89,1,0.0356,124.011,4,0.4679999999999999
Bendicion,47,119360,0.0387,0.647,0.863,0.0,10,0.243,-2.32,0,0.292,109.352,5,0.496
"Git Up, Git Out",51,447026,0.0196,0.841,0.578,0.0,4,0.1369999999999999,-8.341000000000001,0,0.426,83.22200000000001,4,0.5589999999999999
Child Psychology,44,248266,0.132,0.354,0.3939999999999999,0.044,2,0.131,-11.563,1,0.053,160.554,3,0.166
